station_eu_code;st_x;st_y;altitudine;regione;provincia;comune;nome_stazione;Mese3.feriali1;Mese3.feriali2;Mese3.feriali3;Mese3.feriali4;Mese3.festivi1;Mese3.festivi2;Mese3.festivi3;Mese3.festivi4;Mese3.festivi5;Mese4.feriali1;Mese4.feriali2;Mese4.feriali3;Mese4.feriali4;Mese4.feriali5;Mese4.festivi1;Mese4.festivi2;Mese4.festivi3;Mese4.festivi4;tipo_zona;tipo_stazione;zona_tipo;i_surface;d_a1;d_a2
IT1788A;7.87804;45.4512;240;PIEMONTE;Torino;Ivrea;Ivrea - Liberazione;-0.1440650373697281;-0.16159816086292267;-0.20298442244529724;-0.4252970516681671;0.04991007968783378;-0.4322521686553955;-0.17977260053157806;-0.4008035659790039;-0.38733622431755066;-0.32553011178970337;-0.5398375391960144;-0.36295974254608154;-0.09225410968065262;-0.2628854513168335;-0.417864590883255;-0.5233278870582581;-0.2225416600704193;-0.10885344445705414;S;F;FS;27.37355613708496;1421.89208984375;266.97900390625
IT1877A;7.62593;45.04188;260;PIEMONTE;Torino;Torino;Torino - Rubino;-0.07302385568618774;-0.12221842259168623;-0.25936806201934814;-0.5802827477455139;-0.25728586316108704;0.13745471835136414;-0.4046681821346283;-0.6734322905540466;-0.5802115797996521;-0.22012507915496823;-0.33697691559791565;-0.5378397107124329;-0.2589782178401947;-0.5296446681022644;-0.23565629124641416;-0.4470765888690949;-0.516926109790802;-0.350699782371521;U;F;FU;83.78609466552734;1888.84033203125;238.36131286621094
IT1878A;8.40236;45.31891;131;PIEMONTE;Vercelli;Vercelli;Vercelli - CONI;0.09232558310031892;-0.24123847484588623;-0.23316507041454315;-0.5208730101585388;-0.1954079568386078;0.05845770612359047;-0.3564496338367462;-0.49724912643432617;-0.5040282607078552;-0.178419828414917;-0.3707870543003082;-0.5606513619422913;-0.32085928320884705;-0.5852331519126892;-0.2931789457798004;-0.555287778377533;-0.530203640460968;-0.5685817003250122;S;F;FS;14.918282508850098;2736.984130859375;143.7599334716797
IT1676A;8.61969;45.44034;157;PIEMONTE;Novara;Novara;Novara - Roma;0.1158081442117691;-0.14788348972797394;-0.10992071032524107;-0.44579800963401794;-0.13626113533973694;0.17684990167617798;-0.10052040219306946;-0.4229385554790497;-0.4990183711051941;-0.08316727727651596;-0.31742045283317566;-0.5664201378822327;-0.25497910380363464;-0.5273689031600952;-0.2328135371208191;-0.4992719888687134;-0.5476197600364685;-0.5682046413421631;U;T;TU;82.274383544921875;3116.231689453125;1126.7161865234375
IT1903A;8.19756;44.89422;119;PIEMONTE;Asti;Asti;Asti - Baussano;0.06472145766019821;-0.34365350008010864;-0.4112401306629181;-0.4321250319480896;0.04796912893652916;-0.05560539662837982;-0.5382435917854309;-0.4576802849769592;-0.5250982046127319;-0.29400286078453064;-0.31341370940208435;-0.3683115541934967;-0.13075372576713562;-0.4739861786365509;-0.2897045910358429;-0.49057653546333313;-0.3651350140571594;-0.3766709268093109;U;T;TU;51.263607025146484;2628.75439453125;1943.1522216796875
IT1948A;8.31031;44.80801;258;PIEMONTE;Asti;Vinchio;Vinchio - San Michele;0.15223027765750885;-0.3106527328491211;-0.3297463059425354;-0.2526102364063263;0.28924036026000977;-0.04737168177962303;-0.4811656177043915;-0.2616274952888489;-0.39208322763442993;-0.08039339631795883;-0.18599389493465424;-0.27700313925743103;0.15577341616153717;-0.2444903254508972;-0.07649531960487366;-0.41734933853149414;-0.27711528539657593;-0.08592104911804199;R;F;FR;0;10370.1279296875;4111.3056640625
IT0643A;8.612;44.90661;95;PIEMONTE;Alessandria;Alessandria;Alessandria - D'Annunzio;-0.02033952809870243;-0.26438483595848083;-0.2880122661590576;-0.4129088222980499;-0.01584729179739952;-0.09085581451654434;-0.41313841938972473;-0.4617411196231842;-0.5328392386436462;-0.36759597063064575;-0.3969947397708893;-0.4479377269744873;-0.12491702288389206;-0.3048873245716095;-0.3552832305431366;-0.527053713798523;-0.4432849586009979;-0.25177231431007385;U;T;TU;76.08563995361328;3441.96435546875;509.923583984375
IT1830A;8.6232;44.9203;91;PIEMONTE;Alessandria;Alessandria;Alessandria - Volta;-0.01574895717203617;-0.24982494115829468;-0.2736347019672394;-0.4173090755939483;-0.01457160338759422;-0.06866990774869919;-0.3971070051193238;-0.4569476246833801;-0.5383465886116028;-0.35842546820640564;-0.3886783719062805;-0.4512796998023987;-0.11438778042793274;-0.30127134919166565;-0.3384753167629242;-0.5195297598838806;-0.4430009722709656;-0.23357990384101868;U;F;FU;77.80906677246094;2493.551513671875;545.005615234375
IT1904A;9.05243;44.76335;620;PIEMONTE;Alessandria;Dernice;Dernice - Costa;0.23586343228816983;-0.1433306783437729;-0.2575052082538605;-0.23541493713855743;0.3818503618240357;-0.01711730472743511;-0.2874126732349396;-0.317939817905426;-0.4647951126098633;-0.12198866158723833;-0.1553293913602829;-0.2430085390806198;0.08642204850912094;-0.01559246052056551;-0.07545959949493408;-0.5444192886352539;-0.23320965468883512;-0.09023408591747284;R;F;FR;0;13144.2763671875;9525.6044921875
IT1247A;8.05639;45.55882;405;PIEMONTE;Biella;Biella;Biella - Sturzo;-0.12260835617780684;-0.13219749927520752;-0.3073274493217468;-0.4333896338939667;-0.04016329348087311;-0.28407594561576843;-0.3053152859210968;-0.3862586617469787;-0.3366144597530365;-0.4724654257297516;-0.6409561634063721;-0.3741928637027741;-0.09328678250312804;-0.29598698019981384;-0.5709092020988464;-0.600355327129364;-0.1784803420305252;-0.14781351387500763;U;F;FU;61.800071716308594;16565.77734375;873.748291015625
IT1246A;8.18761;45.56911;271;PIEMONTE;Biella;Cossato;Cossato - Pace;-0.08682986348867416;-0.1877855509519577;-0.2580491602420807;-0.4350425601005554;-0.17114901542663574;-0.1869085282087326;-0.3348405063152313;-0.343136191368103;-0.3506394326686859;-0.36318472027778625;-0.5777339935302734;-0.42013320326805115;-0.16248862445354462;-0.4357934296131134;-0.4912426471710205;-0.5683345794677734;-0.2793152928352356;-0.3554953932762146;U;F;FU;38.47459030151367;14622.3232421875;4040.6298828125
IT0983A;7.32417;45.73583;581;VALLE_AOSTA;Aosta;Aosta;AOSTA (PIAZZA PLOUVES);0.08803669363260269;-0.21337758004665375;-0.3682624101638794;-0.36070048809051514;0.40376460552215576;-0.16450446844100952;-0.3147813379764557;-0.34376391768455505;-0.4379971921443939;-0.3799833357334137;-0.5061731934547424;-0.5531733632087708;-0.2797718942165375;-0.3073585033416748;-0.36255794763565063;-0.6160037517547607;-0.4303324818611145;-0.2460005283355713;U;F;FU;82.08717346191406;777.991943359375;535.91424560546875
IT0988A;7.76643;45.5966;371;VALLE_AOSTA;Aosta;Donnas;DONNAS;-0.12641148269176483;-0.07003498822450638;-0.29181647300720215;-0.36185264587402344;0.3138992190361023;-0.4678914248943329;-0.3567083775997162;-0.25906676054000854;-0.3875991404056549;-0.3392501771450043;-0.6154875159263611;-0.45406994223594666;-0.01755695790052414;-0.1294410079717636;-0.44108015298843384;-0.6575576066970825;-0.2278801053762436;0.05572368577122688;R;F;FR;11.798551559448242;254.52685546875;471.4949035644531
IT0977A;6.97778;45.72917;1640;VALLE_AOSTA;Aosta;La Thuile;LA THUILE;0.2832030951976776;-0.07042936980724335;-0.308760404586792;-0.21613992750644684;0.60485076904296875;0.2870117127895355;-0.15950825810432434;-0.05778978392481804;-0.3983071744441986;-0.27922648191452026;-0.24886658787727356;-0.21792176365852356;0.1780603975057602;0.08263497799634933;-0.16631869971752167;-0.32874956727027893;-0.0946268066763878;0.14229196310043335;R-remote;F;FR-remote;0;4225.42578125;1478.0535888671875
IT2233A;7.329645;45.734306;583;VALLE_AOSTA;Aosta;Aosta;Aosta Liconi;0.08803669363260269;-0.21337758004665375;-0.3682624101638794;-0.36070048809051514;0.40376460552215576;-0.16450446844100952;-0.3147813379764557;-0.34376391768455505;-0.4379971921443939;-0.3799833357334137;-0.5061731934547424;-0.5531733632087708;-0.2797718942165375;-0.3073585033416748;-0.36255794763565063;-0.6160037517547607;-0.4303324818611145;-0.2460005283355713;U;F;FU;82.08717346191406;777.991943359375;535.91424560546875
